SECTORNUMBER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
       1.000,   30718.621,   17379.188,       0.000,       0.000,       0.000,     178.326,       0.000,       9.758,      26.334,      13.714,      18.878,       0.000,       0.000,       0.000,    2150.890,   12195.724,   53991.550,    1982.797,    9557.084,     209.375,       0.541,       0.000,    2780.277,   16614.219,    5549.587,    1042.470,    1006.626,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    9449.192,       0.000,       0.000,      40.112,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     371.216,    1125.902,    1355.924,    1387.920,     354.686,     699.126,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      95.055,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       3.608,       0.000,       0.000,       0.000,       8.066,       0.000,       0.000,       0.000,       0.000,       1.956,      16.561,      13.154,       0.000,       1.169,      28.479,     129.176,      65.079,       0.000,       3.625,       3.857,       0.000,       0.000,       3.885,       0.000,       0.000,    2500.694,       2.293,       0.000,      15.348,      53.061,       0.444,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      19.861,      48.563,      30.177,      18.200,     694.198,       0.543,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      44.117,       0.000,       9.648,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.179,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    3895.759,       0.557,       0.000,       0.000,       0.000,       0.000,  120380.039
       2.000,     939.544,   52416.864,       4.707,       0.000,       0.000,     246.494,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     107.030,     196.997,   37077.821,  103676.850,     722.427,     600.296,    1692.692,       0.000,       0.000,     381.631,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       5.400,     486.780,       0.000,     129.225,      48.325,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      38.511,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     813.655,       0.000,       0.000,      29.143,       0.000,       0.000,       0.000,       0.000,       0.000,      17.945,       0.000,       0.000,       0.000,       2.194,      34.854,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      56.507,      73.397,     466.527,      18.148,    1630.361,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.969,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       5.007,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     570.583,       0.000,       0.000,       0.000,       0.000,       0.000,    9038.532
       3.000,       0.000,       0.000,     125.672,    2834.952,       0.000,       7.812,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      94.995,       0.000,       0.000,       0.000,       0.000,       0.000,     310.897,      98.174,       0.000,       0.000,      85.042,    2882.364,     260.040,     487.743,       0.000,       0.000,      45.805,      30.909,     239.122,       5.171,     126.331,       0.000,      42.487,       0.000,       2.192,       0.000,    1805.083,       0.000,       0.000,       0.000,       0.986,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      38.551,       0.000,       0.000,       0.000,     169.853,       0.000,       0.000,       0.000,       0.000,       2.126,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      23.711,       0.000,       0.000,       0.571,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       2.831,       0.000,       0.000,       0.725,       3.831,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     154.226,       0.000,       0.000,       0.000,       0.000,       0.000,   -3772.604
       4.000,       0.000,       0.000,       0.000,     870.259,       0.000,       0.000,       0.000,      83.048,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    5224.458,    2594.046,     741.904,    6019.492,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      66.056,       0.000,       0.000,       0.000,       0.000,       0.000,    1508.439
       5.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     327.254,       0.000,       0.000,     679.883,       0.000,     742.861,    4471.673,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      20.911,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     656.849,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       4.537,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      17.371,       0.000,       0.000,       0.323,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      42.014,      13.637,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      19.904,      29.191,     181.884,     352.032,    3366.495,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      70.208,       0.000,      90.574,       0.000,       0.000,       0.000,      22.422,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     430.848,       0.000,       0.000,       0.000,       0.000,       0.000,   -1897.619
       6.000,   19410.673,    2442.311,    2697.993,     293.444,      14.377,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     159.450,       0.000,       0.000,       6.876,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      45.535,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    2635.342,       0.000,       0.000,       0.000,       0.000,       0.000,     468.369
       7.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   37245.974,       0.020,       0.076,       0.777,       0.441,    6177.348,   12409.961,       6.640,       0.000,       0.057,       0.025,       0.104,       0.000,       0.058,       0.028,       0.011,       0.045,       0.049,       0.026,       0.034,       0.000,       0.000,       0.150,       0.142,       0.099,       0.340,       0.082,       0.448,  396740.494,    4116.074,      25.540,       5.322,       4.489,       1.300,       3.253,      42.018,       0.266,       0.153,       0.000,       0.169,       0.063,       0.173,       0.182,       0.000,      12.381,       0.000,       0.235,       0.035,       0.000,       0.083,       0.083,       0.000,       0.000,       0.083,       0.057,       0.077,       0.025,       0.068,       0.065,       0.075,       0.066,       0.070,       0.064,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.389,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.776,       0.539,       0.404,       0.499,       0.893,       0.000,       0.000,       0.000,       0.000,       0.000,       7.632,       0.000,       0.000,       0.323,       0.068,       0.391,       0.437,       0.041,       0.002,       0.159,       0.156,       0.124,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.016,       0.308,       0.019,       0.465,       0.009,       0.032,       0.018,       0.002,       1.354,       0.045,       0.070,       0.051,       0.099,       0.018,       0.047,       0.048,       0.047,       0.404,       0.037,       0.095,       0.257,       0.108,       0.126,       0.037,       0.058,       0.012,       0.021,       0.076,       0.403,       0.397,       0.202,       0.120,       0.070,       0.029,       0.071,       0.078,       0.111,       0.104,       0.044,       0.198,       0.570,       0.820,       2.454,       0.095,       0.006,       0.024,       0.005,       0.018,       0.000,       0.128,       0.012,       0.000,       0.004,       0.115,       0.000,       0.000,     743.472,      48.497,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    8792.677,       0.000,       0.000,       0.000,    4283.335,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,  -61646.716
       8.000,       0.000,     732.710,       0.000,       0.832,       0.000,       0.000,     155.670,    3704.643,      60.848,      65.908,      18.627,    7221.568,       0.000,       0.000,       0.000,      39.755,     236.941,      96.493,      93.064,     117.214,     120.734,      23.915,      62.981,      77.016,      97.681,      15.676,      41.841,       0.000,       1.522,       1.578,       2.119,     676.204,      83.749,       0.000,    3390.108,     245.453,      35.959,       7.573,       6.235,       1.911,       4.669,       4.976,      52.698,      24.366,     124.619,     485.149,     705.619,     609.470,    2354.605,      23.900,     128.319,      69.112,      82.319,       1.125,       0.409,       1.768,       0.422,       0.384,       0.434,       1.328,       1.538,       1.052,       2.136,       1.565,       0.965,       0.832,       0.746,       1.013,       2.384,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.771,       0.036,       1.413,       3.539,       6.924,       1.471,      13.884,       4.434,       0.861,       3.280,       0.798,       3.427,       2.749,       0.665,       0.000,       0.000,      12.503,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.853,       0.280,       0.000,       0.000,       0.678,       0.055,       0.547,       0.791,       0.627,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       3.026,       0.000,       0.000,       0.000,       0.000,       0.000,       0.551,      14.113,       0.000,       0.000,       0.000,      84.922,       0.649,       0.663,      40.836,       0.541,       0.761,       0.037,       0.495,       0.521,       0.000,       0.481,       0.448,       1.382,       7.570,       2.922,       0.452,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      27.653,       5.207,       3.399,       2.121,       0.966,       0.000,       0.584,       0.000,       0.000,       0.854,       0.370,       1.557,       4.973,      10.488,     383.677,       1.755,       0.305,       0.579,       0.312,       0.347,       0.002,       2.615,       0.293,       0.000,       0.307,       3.717,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     779.258,       0.000,    4233.631,       0.000,       0.000,       0.000,    2062.405,       0.000,       0.000,       0.000,       0.000,    1258.208,       0.000,       0.000,       0.000,       0.000,       0.000,    8583.668
       9.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    2006.902,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      49.619,    2976.442,       0.000,     319.143,       0.000,     109.524,       0.000,      52.571,       0.000,       0.000,      51.610,      14.774,       7.626,     307.080,    5288.490,     146.183,     625.402,    5330.633,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     430.614,       0.000,     113.973,      66.468,     104.935,       0.000,       0.000,       0.000,      57.796,       0.000,       0.000,       0.017,       1.332,       0.554,       0.000,       0.000,       0.000,       0.000,       0.000,     116.108,      13.298,       0.000,       0.000,      66.946,      47.530,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      24.413,     175.781,       9.922,       0.000,       0.000,       0.000,       4.732,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      27.181,       0.000,      29.342,      20.068,      32.629,     124.312,       0.000,      37.868,      89.048,     777.072,       0.000,       0.000,       0.000,       0.000,       5.285,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     384.945,       0.000,       0.000,       0.000,     356.962,       0.000,       0.000,       3.509,       0.000,       0.000,       0.000,       0.000,       0.000,     259.297,     323.457,       0.000,      56.725,       0.000,       0.000,     344.693,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       4.264,      28.080,       0.000,       0.000,       0.000,     357.295,      10.529,      14.467,       1.127,       0.000,       3.098,       0.000,     687.583,      67.104,      31.018,       8.314,      85.450,      38.883,       0.000,     484.893,       0.040,       0.000,      18.890,       0.000,     103.062,      54.801,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.422,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    9717.537
      10.000,    1770.951,     130.514,       0.000,       0.000,       0.000,       0.223,       0.000,     317.889,       5.901,     572.053,      25.785,     118.244,       0.399,      53.010,   16420.717,      78.256,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     153.101,       0.000,       0.000,    1102.130,     468.817,       0.000,     979.152,       0.000,     185.329,       7.917,      33.496,       0.000,       0.000,     298.179,     336.266,    3535.786,    1515.251,      22.413,       0.000,       0.000,       0.000,      97.364,       0.000,       0.489,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       5.254,       0.000,       0.245,       0.000,       0.937,       4.555,       0.000,       0.000,       0.000,       0.433,       0.000,       0.107,       0.000,       0.000,       0.000,       6.866,       0.000,       0.000,       0.000,       0.000,       0.000,      56.582,       0.000,       0.000,       0.000,      13.731,       0.000,       0.000,       0.000,       0.616,       0.000,       0.000,       0.000,       0.000,       0.002,       0.000,     134.812,       0.488,       6.803,       3.937,       0.000,       1.674,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.319,       7.595,      40.780,       0.259,       0.048,       0.000,       0.000,       0.000,       0.000,       0.000,      20.340,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     197.009,       0.000,       0.000,       0.000,     125.098,       0.000,       0.458,       3.903,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      13.856,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.211,       0.000,       0.000,       0.000,       0.000,       0.000,       0.406,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      46.265,       0.000,      45.877,       0.000,       0.000,       0.000,      22.349,       0.000,       0.000,       0.000,       0.000,    1197.425,      11.949,       0.000,       0.000,       0.000,       0.000,    -391.773
