SECTORNUMBER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
       1.000,   16127.326,    5760.510,       0.000,       0.000,       0.000,     472.593,       0.000,      12.597,      36.331,      24.016,      23.684,       0.000,       0.000,       0.000,    2815.762,    6846.898,   33967.236,    4795.489,    5408.106,     383.695,       0.847,       0.000,    1642.163,   11933.829,    1941.083,    3939.238,    3894.770,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    6215.268,       0.000,       0.000,     602.662,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     795.002,     515.726,     963.828,     787.754,      95.930,     356.365,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      30.958,       0.000,       0.000,       0.000,       0.710,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.962,       1.051,       0.000,       0.000,       2.872,       0.000,       0.000,       0.000,       0.000,       6.752,      38.783,      38.586,       0.000,       1.440,      14.911,      93.979,      52.303,       0.000,       4.187,       1.104,       0.000,       0.000,       0.550,       0.000,       0.000,    1143.781,       0.659,       0.000,      34.260,      88.316,       1.257,       0.844,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.384,       0.456,       0.780,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      21.137,      12.700,      50.358,      11.364,     210.419,       1.011,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      48.527,       0.000,       8.946,       0.000,       0.000,       0.631,       0.514,       0.000,       0.000,       0.000,       0.000,       0.000,       1.633,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    4020.503,       0.008,       0.000,       0.000,       0.000,       0.000,   80841.145
       2.000,     690.648,   25921.821,      97.535,       0.000,       0.000,     613.342,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     144.331,     300.050,   37008.338,   90026.778,    1087.740,     794.134,    1783.521,       0.000,       0.000,     344.291,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      14.733,     981.493,       0.000,     179.291,      38.250,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      51.742,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     305.078,       0.000,       0.000,      15.893,       0.000,       0.000,       0.000,       0.000,       0.000,       4.233,       0.000,       0.000,       0.000,       9.313,     114.364,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.361,       0.429,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      46.680,      20.831,     225.132,      16.751,    1000.042,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.187,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       5.363,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     622.329,       0.000,       0.000,       0.000,       0.000,       0.000,    3960.414
       3.000,       0.000,       0.000,     102.765,    5291.326,       0.000,       5.735,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      68.506,       0.000,       0.000,       0.000,       0.000,       0.000,     146.470,      52.415,       0.000,       0.000,      43.116,    3123.302,     470.319,     860.139,       0.000,       0.000,     214.117,       9.967,     279.565,       7.313,     121.200,       0.000,      88.934,       0.000,       2.002,       0.000,    2181.612,       0.000,       0.000,       0.000,       1.933,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.859,       0.000,       0.000,       0.660,       0.000,       0.000,       0.000,       0.000,      29.423,       0.000,       0.000,       0.000,     273.781,       0.000,       0.000,       0.000,       0.000,       0.925,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       3.135,       0.000,       0.000,       1.134,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.594,       0.000,       0.000,       1.257,       0.687,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      20.840,       0.000,       0.000,       0.000,       0.000,       0.000,   -1926.069
       4.000,       0.000,       0.000,       0.000,    1157.567,       0.000,       0.000,       0.000,     112.297,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    4029.926,    3086.156,     951.024,    4808.493,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      63.121,       0.000,       0.000,       0.000,       0.000,       0.000,    1691.874
       5.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     511.788,       0.000,       0.000,    1360.486,       0.000,     674.740,    6049.707,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      37.648,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     851.359,       0.000,       0.000,       0.000,       0.000,       0.987,       0.000,       0.000,       0.000,       1.959,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      14.384,       0.000,       0.000,       0.395,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     115.586,      28.939,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.856,       1.017,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      29.549,      15.721,     218.392,     390.746,    4352.142,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      90.579,       0.000,     115.454,       0.000,       0.000,       0.000,      58.349,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     586.080,       0.000,       0.000,       0.000,       0.000,       0.000,   -5278.765
       6.000,   16176.184,    2592.652,    2627.324,     210.402,      14.752,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      87.513,       0.000,       0.000,       5.602,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      49.688,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    2381.412,       0.000,       0.000,       0.000,       0.000,       0.000,     388.633
       7.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   19846.435,       0.294,       1.147,       8.614,       0.920,   10277.379,   23239.302,      15.388,       0.000,       0.172,       0.206,       0.286,       0.000,       0.136,       0.222,       0.050,       0.140,       0.000,       0.080,       0.173,       0.191,       0.000,       0.613,       1.387,       0.385,       3.557,       0.000,       1.513,  370092.252,    6159.127,     100.558,      21.029,      26.067,       3.979,      17.016,     261.757,       2.083,       1.030,       0.000,       0.284,       0.131,       0.000,       1.958,       0.000,      98.168,       0.000,       0.737,       0.093,       0.000,       0.157,       0.139,       0.000,       0.000,       0.289,       0.200,       0.000,       0.018,       0.028,       0.028,       0.031,       0.029,       0.030,       0.032,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.218,       0.309,       0.000,       0.000,       0.143,       0.000,       0.070,       0.000,       0.110,       0.105,       0.000,       0.101,       0.097,      16.790,       4.337,       4.467,       2.488,      12.234,       0.000,       0.000,       0.000,       0.000,       0.254,     110.189,       0.000,       0.000,       2.338,       0.714,       0.133,       0.422,       0.430,       0.022,       1.451,       0.155,       0.229,       0.079,       0.131,       0.000,       0.286,       0.162,       0.130,       0.261,       0.057,       0.058,       0.063,       0.073,       0.306,       0.428,       1.772,       0.621,       0.392,       0.060,       0.557,       0.376,       0.033,      24.802,       0.287,       0.273,       0.280,       0.264,       1.169,       0.252,       0.000,       0.329,       1.804,       0.375,       1.352,       1.438,       1.538,       1.618,       0.763,       1.335,       0.139,       0.203,       0.272,       5.893,       8.501,       1.091,       0.399,       0.880,       0.056,       0.289,       0.296,       0.437,       0.423,       0.746,       1.198,       7.240,      13.014,      43.186,       4.051,       0.235,       0.401,       0.529,       0.262,       0.736,       2.450,       0.507,       0.000,       0.366,       4.490,       0.000,       0.000,     267.401,       1.923,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    3973.954,       0.000,       0.000,       0.000,    2101.759,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000, -226733.625
       8.000,       0.000,     873.674,       0.000,       1.906,       0.000,       0.000,      93.936,    4085.871,      79.377,     107.530,      24.680,   13919.498,       0.000,       0.000,       0.000,     159.295,     627.397,     180.183,     340.053,     216.200,     425.144,      48.768,     252.104,     174.018,     140.426,      53.015,     230.116,       0.576,       2.344,       5.856,       3.478,    2040.921,     301.673,       0.000,    1003.860,     360.457,      76.375,      16.174,      17.247,       3.041,      13.156,       9.409,     157.085,      67.901,     261.985,     506.230,     646.273,     549.541,    4030.855,     130.734,     437.826,     221.598,     322.219,       1.243,       0.684,       3.547,       0.726,       0.736,       0.848,       1.457,       2.323,       1.538,       0.870,       2.920,       0.332,       1.218,       0.896,       1.987,       4.373,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       2.216,       0.623,       1.484,       3.675,      12.381,       0.225,      29.186,       9.097,       1.077,       1.430,       0.479,       4.805,       3.579,       0.603,       0.000,       0.000,      11.721,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.679,       0.000,       2.863,       0.709,       0.000,       0.000,       0.781,       0.203,       0.747,       0.478,       0.705,       0.000,       0.000,       0.961,       1.051,       0.000,       0.956,       0.845,       0.139,       0.142,       0.153,       0.000,       1.125,       1.211,       3.452,       0.000,       0.720,       0.000,      56.300,       0.791,       1.011,      40.688,       1.249,       0.303,       0.164,       1.099,       0.967,       0.000,       1.752,       1.027,       0.757,      20.033,       3.284,       0.809,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       7.375,      12.175,       2.351,       0.933,       1.509,       0.000,       1.061,       0.000,       0.000,       0.965,       0.974,       1.071,       8.586,      12.192,     488.675,       2.844,       0.850,       0.372,       1.172,       0.935,       0.459,       2.110,       1.283,       0.000,       1.069,       5.794,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    1563.644,       0.000,    2202.045,       0.000,       0.000,       0.000,    1164.729,       0.000,       0.000,       0.000,       0.000,     943.781,       0.000,       0.000,       0.000,       0.000,       0.000,     717.486
       9.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    3564.272,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       7.529,    3292.596,       0.000,     220.869,       0.000,     162.239,       0.000,      91.074,       0.000,       0.000,      49.957,      18.530,       8.338,     157.106,    6682.270,     225.852,     833.615,    6393.126,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     503.165,       0.000,      87.536,     114.824,      34.137,       0.000,       0.000,       0.000,      23.707,       0.000,       0.000,       1.671,      72.082,      21.352,       0.000,       0.000,       0.000,       0.000,       0.000,      97.417,       9.730,       0.000,       0.000,      57.014,      30.039,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      38.286,     443.689,       7.340,       1.547,       0.000,       0.000,       2.075,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     145.423,       0.000,     143.652,      46.075,       9.848,      76.614,       0.000,       3.281,      11.161,      12.317,       0.000,       0.000,       0.000,       0.000,       1.494,       0.246,       0.252,       0.271,       0.000,       0.000,       0.000,     159.263,       0.000,       0.000,       0.000,     174.759,       0.000,       0.000,       2.922,       0.000,       0.000,       0.000,       0.000,       0.000,     171.888,      81.895,       0.000,      21.841,       0.000,       0.000,     223.605,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       8.732,      30.093,       0.000,       0.000,       0.000,      92.964,      17.661,      16.606,       3.241,       0.000,       2.466,       0.000,     497.642,      81.530,      30.915,       5.973,      44.450,      15.900,       0.000,     140.787,       0.839,       0.000,     144.313,       0.000,     118.837,      53.890,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       4.669,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    8034.584
      10.000,    1172.456,     133.632,       0.000,       0.000,       0.000,       0.762,       0.000,     512.093,       9.809,    1524.276,      58.049,      68.279,       4.623,      42.216,   17303.412,     204.118,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     494.485,       0.000,       0.000,     557.857,     683.520,       0.000,     856.185,       0.000,     411.170,      57.004,     122.669,       0.000,       0.000,     653.219,     371.254,    5201.677,    1620.511,      22.999,       0.000,       0.000,       0.000,     103.857,       0.000,       1.592,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      12.856,       0.000,       0.613,       0.000,       2.101,      13.637,       0.000,       0.000,       0.000,      30.841,       0.000,       0.674,       0.000,       0.000,       0.000,      16.999,       0.000,       0.000,       0.000,       0.000,       0.000,      94.537,       0.000,       0.000,       0.000,      27.056,       0.000,       0.000,       0.000,       2.095,       0.000,       0.000,       0.000,       0.000,       0.525,       0.000,      85.424,       0.865,       4.705,       0.904,       0.000,       0.200,       0.000,       0.000,       0.006,       0.006,       0.000,       0.662,       0.602,      13.566,      15.373,       0.038,       0.670,       0.000,       0.000,       0.000,       0.000,       0.000,       0.149,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     116.677,       0.000,       0.000,       0.000,      90.831,       0.000,       0.000,       4.049,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      19.818,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.797,       0.000,       0.000,       0.000,       0.000,       0.000,       2.407,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      69.691,       0.000,      49.483,       0.000,       0.000,       0.000,      26.073,       0.000,       0.000,       0.000,       0.000,    1039.150,       0.087,       0.000,       0.000,       0.000,       0.000,     168.361
