SECTORNUMBER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
       1.000,   17293.895,    7477.345,       0.000,       0.000,       0.000,     344.024,       0.000,      14.709,      26.268,      22.102,      37.744,       0.000,       0.000,       0.000,    2192.709,    7993.973,   35219.913,    4413.287,    6431.278,     256.298,       0.722,       0.000,    1840.139,   15098.795,    2818.815,    2335.144,    3168.858,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   10886.785,       0.000,       0.000,     308.231,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     828.346,     868.607,     436.341,     892.062,     169.529,     383.075,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      41.575,       0.000,       0.000,       0.000,       0.588,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.368,       0.768,       0.000,       0.000,       4.964,       0.000,       0.000,       0.000,       0.000,       3.157,      19.975,      35.660,       0.000,       1.246,      15.412,      65.513,     123.281,       0.000,       6.715,       0.578,       0.000,       0.000,       1.033,       0.000,       0.000,    1001.533,       0.860,       0.000,      22.361,      52.680,       0.751,       0.668,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.313,       0.341,       0.635,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      17.887,      24.897,      32.428,      10.494,     194.412,       0.632,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      37.529,       0.000,       3.013,       0.000,       0.000,       0.383,       0.446,       0.000,       0.000,       0.000,       0.000,       0.000,       1.235,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    2829.903,       0.049,       0.000,       0.000,       0.000,       0.000,   86948.412
       2.000,     609.031,   23391.977,      28.850,       0.000,       0.000,     365.042,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     104.979,     255.921,   38085.106,   98214.065,     942.817,     827.644,    2073.161,       0.000,       0.000,     335.043,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       7.564,     971.416,       0.000,     175.103,      57.046,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      38.254,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     216.289,       0.000,       0.000,      21.852,       0.000,       0.000,       0.000,       0.000,       0.000,       2.621,       0.000,       0.000,       0.000,       6.645,      63.988,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.275,       0.300,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      34.388,      35.680,     156.947,      15.506,     817.745,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.427,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       3.306,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     440.991,       0.000,       0.000,       0.000,       0.000,       0.000,    5450.188
       3.000,       0.000,       0.000,      88.319,    2967.900,       0.000,       4.378,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      52.331,       0.000,       0.000,       0.000,       0.000,       0.000,     159.893,      49.572,       0.000,       0.000,      40.906,    3495.400,     274.181,     667.145,       0.000,       0.000,      44.633,      15.864,     331.291,       7.328,     150.827,       0.000,      76.953,       0.000,       3.179,       0.000,    2278.543,       0.000,       0.000,       0.000,       1.174,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.624,       0.000,       0.000,       0.512,       0.000,       0.000,       0.000,       0.000,      45.270,       0.000,       0.000,       0.000,     245.573,       0.000,       0.000,       0.000,       0.000,       3.320,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       4.220,       0.000,       0.000,       0.561,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.026,       0.000,       0.000,       0.632,       0.780,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      39.350,       0.000,       0.000,       0.000,       0.000,       0.000,   -3077.653
       4.000,       0.000,       0.000,       0.000,     798.798,       0.000,       0.000,       0.000,      80.530,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    5554.872,    2414.673,     917.696,    4036.447,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      50.142,       0.000,       0.000,       0.000,       0.000,       0.000,     721.168
       5.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     462.752,       0.000,       0.000,    1016.999,       0.000,     766.511,    5926.649,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      47.964,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     736.275,       0.000,       0.000,       0.000,       0.000,       0.658,       0.000,       0.000,       0.000,       4.121,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       8.443,       0.000,       0.000,       0.523,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      75.748,      17.235,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.617,       0.672,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      23.475,      27.502,     143.327,     310.016,    3413.027,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      60.052,       0.000,      36.433,       0.000,       0.000,       0.000,      40.047,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     459.513,       0.000,       0.000,       0.000,       0.000,       0.000,   -5224.986
       6.000,   18864.272,    2725.204,    2441.301,     245.435,       9.923,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      62.852,       0.000,       0.000,       8.758,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      51.676,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    2029.005,       0.000,       0.000,       0.000,       0.000,       0.000,     127.058
       7.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   11157.287,       0.453,       1.045,      10.698,       2.515,   11563.316,   21516.080,      11.692,       0.000,       0.153,       0.780,       0.283,       0.000,       0.119,       0.497,       0.158,       0.136,       0.000,       0.296,       0.146,       0.190,       0.000,       1.505,       1.968,       0.924,       5.135,       0.000,       0.716,  424826.565,    4220.374,     100.760,      20.344,      49.352,       4.793,      14.439,      54.436,       3.332,       1.942,       0.000,       0.163,       0.207,       0.000,       1.163,       0.000,      20.342,       0.000,       0.213,       0.371,       0.000,       0.142,       0.147,       0.000,       0.000,       0.285,       0.678,       0.000,       0.110,       0.039,       0.042,       0.045,       0.045,       0.043,       0.045,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.220,       0.320,       0.000,       0.000,       0.127,       0.000,       0.061,       0.000,       0.095,       0.098,       0.000,       0.095,       0.095,      24.729,       3.668,       6.333,       3.327,      17.580,       0.000,       0.000,       0.000,       0.000,       0.204,     122.207,       0.000,       0.000,       4.724,       1.949,       0.109,       0.381,       1.181,       0.016,       1.407,       0.146,       0.174,       0.063,       0.132,       0.000,       0.230,       0.125,       0.115,       0.214,       0.051,       0.050,       0.050,       0.056,       0.237,       0.233,       8.605,       0.351,       0.373,       0.208,       1.223,       1.223,       0.193,      51.203,       0.512,       1.260,       0.181,       0.173,       0.645,       0.174,       0.000,       0.648,       4.763,       0.214,       1.758,       3.619,       2.566,       2.022,       1.121,       1.217,       0.221,       0.576,       0.419,      24.797,      16.360,       1.158,       0.917,       2.033,       0.267,       0.652,       2.068,       0.201,       1.324,       1.766,       3.420,       7.553,      16.870,      57.229,       7.010,       0.496,       1.164,       0.726,       1.103,       1.993,      17.092,       1.008,       0.000,       0.227,       3.279,       0.000,       0.000,     673.956,      16.398,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    5935.399,       0.000,       0.000,       0.000,    2952.057,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000, -277994.305
       8.000,       0.000,    1084.499,       0.000,       0.962,       0.000,       0.000,      47.577,    4191.800,      64.887,      79.450,      24.450,   16356.160,       0.000,       0.000,       0.000,     240.322,     897.705,     201.626,     385.007,     192.912,     420.404,      65.686,     247.078,     276.600,     247.102,      48.842,     211.461,       0.482,       4.419,       6.367,       5.990,    2272.582,     279.090,       0.000,    2406.390,     664.947,     121.187,      24.724,      59.407,       5.955,      17.702,      17.599,     199.647,      93.767,     342.328,     715.612,    1042.624,     925.120,    6028.756,     150.037,     432.277,     199.115,     337.821,       2.868,       0.678,       6.032,       0.686,       0.678,       0.756,       2.782,       4.423,       3.698,       5.467,       5.038,       1.845,       2.254,       2.463,       2.324,      10.247,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       5.108,       1.594,       4.181,       9.138,      22.578,       0.768,      37.793,      18.107,       2.498,       2.716,       0.534,       7.460,       6.072,       0.543,       0.000,       0.000,      12.081,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.470,       0.000,       5.798,       0.676,       0.000,       0.000,       0.597,       0.090,       0.593,       0.504,       0.600,       0.000,       0.000,       0.671,       0.754,       0.000,       0.751,       0.634,       0.112,       0.109,       0.110,       0.000,       0.775,       0.801,      10.304,       0.000,       0.611,       0.000,      79.883,       0.642,       0.710,      62.967,       0.671,       1.367,       0.112,       0.658,       0.619,       0.000,       1.173,       0.660,       1.477,      20.351,       4.854,       0.738,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      34.419,      16.984,       1.262,       1.084,       1.756,       0.000,       0.686,       0.000,       0.000,       2.097,       0.728,       3.173,       7.729,      11.964,     472.451,       4.998,       0.620,       1.065,       0.681,       0.613,       1.229,      13.323,       0.762,       0.000,       0.764,       4.349,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    1685.673,       0.000,    2737.810,       0.000,       0.000,       0.000,    1361.690,       0.000,       0.000,       0.000,       0.000,     755.670,       0.000,       0.000,       0.000,       0.000,       0.000,     982.831
       9.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    1613.370,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      14.029,    3113.756,       0.000,     140.043,       0.000,     171.651,       0.000,      38.152,       0.000,       0.000,      38.994,       5.344,      10.187,      83.843,    4832.362,     130.173,     624.867,    7331.898,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     535.039,       0.000,     106.797,     143.098,      62.329,       0.000,       0.000,       0.000,      49.754,       0.000,       0.000,       1.139,      28.335,      26.058,       0.000,       0.000,       0.000,       0.000,       0.000,     150.580,       7.057,       0.000,       0.000,      19.392,      26.853,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      29.823,     248.408,       3.196,       0.602,       0.000,       0.000,       1.152,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      74.249,       0.000,      37.182,      46.627,       7.083,      55.997,       0.000,       8.895,      25.792,      12.375,       0.000,       0.000,       0.000,       0.000,       0.573,       0.101,       0.098,       0.099,       0.000,       0.000,       0.000,     235.741,       0.000,       0.000,       0.000,     165.334,       0.000,       0.000,       2.805,       0.000,       0.000,       0.000,       0.000,       0.000,     118.577,     196.967,       0.000,      58.477,       0.000,       0.000,     345.986,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       4.456,      19.714,       0.000,       0.000,       0.000,     171.661,      29.568,      62.498,       5.318,       0.000,       5.223,       0.000,     625.814,      46.167,      23.649,       9.438,      39.932,      24.523,       0.000,     301.806,       0.631,       0.000,      32.768,       0.000,      41.073,      44.946,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.520,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    7410.291
      10.000,    1369.807,     208.112,       0.000,       0.000,       0.000,       0.327,       0.000,     564.195,       7.236,    1266.679,      60.775,     122.270,      11.961,      37.226,   14554.163,     259.665,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     331.207,       0.000,       0.000,    1667.970,     883.140,       0.000,     824.622,       0.000,     416.330,      44.324,     132.264,       0.000,       0.000,     423.151,     509.318,    6799.018,    1876.097,      34.258,       0.000,       0.000,       0.000,      94.660,       0.000,       1.859,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      26.902,       0.000,       0.513,       0.000,       2.820,      13.035,       0.000,       0.000,       0.000,      27.929,       0.000,       0.816,       0.000,       0.000,       0.000,      18.516,       0.000,       0.000,       0.000,       0.000,       0.000,      66.916,       0.000,       0.000,       0.000,      34.813,       0.000,       0.000,       0.000,       2.733,       0.000,       0.000,       0.000,       0.000,       0.002,       0.000,     131.837,       0.616,       5.807,       0.627,       0.000,       0.201,       0.000,       0.000,       0.001,       0.001,       0.000,       0.000,       0.329,      16.415,      38.995,       0.335,       0.433,       0.000,       0.000,       0.000,       0.000,       0.000,       0.491,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     244.957,       0.000,       0.000,       0.000,      60.768,       0.000,       0.000,       5.406,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       9.149,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.581,       0.000,       0.000,       0.000,       0.000,       0.000,       1.430,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      51.260,       0.000,      75.773,       0.000,       0.000,       0.000,      37.687,       0.000,       0.000,       0.000,       0.000,     823.134,       0.387,       0.000,       0.000,       0.000,       0.000,   -1514.774
