SECTORNUMBER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
       1.000,   22020.695,   12792.061,       0.000,       0.000,       0.000,     300.001,       0.000,      10.387,      28.520,      12.683,      13.261,       0.000,       0.000,       0.000,    2429.212,   11938.815,   52855.822,    1980.827,    9444.272,     197.370,       0.517,       0.000,    2837.418,   17121.084,    5305.321,    1233.445,    1374.396,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   11273.775,       0.000,       0.000,      40.869,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     547.273,    1122.992,     937.809,     988.404,     210.974,     537.545,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      81.556,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.858,       0.000,       0.000,       0.000,       8.276,       0.000,       0.000,       0.000,       0.000,       3.388,      14.114,      10.605,       0.000,       1.243,      21.083,     105.805,      49.692,       0.000,       2.986,       2.394,       0.000,       0.000,       2.498,       0.000,       0.000,    1612.299,       1.553,       0.000,      16.161,      52.473,       0.440,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      15.037,      37.015,      22.451,      19.325,     552.476,       0.542,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      43.235,       0.000,       9.782,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.286,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    4379.943,       0.606,       0.000,       0.000,       0.000,       0.000,  108662.240
       2.000,     687.521,   39384.164,       6.849,       0.000,       0.000,     423.307,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     109.147,     198.720,   35678.888,  101180.490,     763.197,     625.375,    1780.610,       0.000,       0.000,     531.896,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       8.126,     495.619,       0.000,      93.941,      29.342,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      33.729,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     680.306,       0.000,       0.000,      24.511,       0.000,       0.000,       0.000,       0.000,       0.000,      12.101,       0.000,       0.000,       0.000,       2.358,      35.185,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      43.672,      57.108,     354.309,      19.671,    1324.503,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.003,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       5.159,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     654.839,       0.000,       0.000,       0.000,       0.000,       0.000,   10710.327
       3.000,       0.000,       0.000,     113.143,    2817.666,       0.000,       8.300,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      90.629,       0.000,       0.000,       0.000,       0.000,       0.000,     305.961,      89.628,       0.000,       0.000,      36.244,    3001.285,     255.720,     490.884,       0.000,       0.000,      42.637,      45.201,     257.596,       5.332,     121.080,       0.000,      39.213,       0.000,       2.090,       0.000,    1611.392,       0.000,       0.000,       0.000,       1.027,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      31.365,       0.000,       0.000,       0.000,     170.562,       0.000,       0.000,       0.000,       0.000,       2.244,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      17.206,       0.000,       0.000,       0.442,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.017,       0.000,       0.000,       0.655,       3.247,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     155.072,       0.000,       0.000,       0.000,       0.000,       0.000,   -3532.859
       4.000,       0.000,       0.000,       0.000,     848.750,       0.000,       0.000,       0.000,      71.397,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    5338.105,    2503.162,     732.695,    4920.618,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      65.174,       0.000,       0.000,       0.000,       0.000,       0.000,    1640.978
       5.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     331.463,       0.000,       0.000,     695.141,       0.000,     734.816,    4788.161,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      21.713,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     585.655,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       3.524,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      13.657,       0.000,       0.000,       0.271,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      41.082,      12.523,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      13.255,      19.570,     119.021,     392.916,    2998.400,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      63.956,       0.000,      85.358,       0.000,       0.000,       0.000,      15.442,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     469.350,       0.000,       0.000,       0.000,       0.000,       0.000,   -1405.002
       6.000,   19929.013,    2574.708,    2754.589,     330.747,      17.538,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     131.211,       0.000,       0.000,       6.042,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     101.420,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    3004.960,       0.000,       0.000,       0.000,       0.000,       0.000,     304.191
       7.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   14335.727,       0.019,       0.074,       0.647,       0.337,    4561.371,    9409.561,       5.895,       0.000,       0.044,       0.019,       0.081,       0.000,       0.043,       0.021,       0.009,       0.036,       0.039,       0.019,       0.031,       0.000,       0.000,       0.125,       0.111,       0.080,       0.287,       0.060,       0.346,  430390.139,    1988.111,      11.809,       2.287,       1.852,       0.538,       1.342,      17.959,       0.213,       0.118,       0.000,       0.136,       0.050,       0.141,       0.149,       0.000,       8.955,       0.000,       0.147,       0.026,       0.000,       0.065,       0.064,       0.000,       0.000,       0.063,       0.042,       0.060,       0.018,       0.052,       0.052,       0.060,       0.050,       0.051,       0.049,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.300,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.728,       0.401,       0.332,       0.390,       0.364,       0.000,       0.000,       0.000,       0.000,       0.000,       2.994,       0.000,       0.000,       0.346,       0.059,       0.338,       0.346,       0.032,       0.001,       0.137,       0.115,       0.099,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.029,       0.531,       0.031,       0.379,       0.015,       0.056,       0.029,       0.004,       0.619,       0.036,       0.057,       0.043,       0.082,       0.014,       0.040,       0.040,       0.041,       0.340,       0.034,       0.082,       0.222,       0.089,       0.105,       0.029,       0.048,       0.009,       0.018,       0.063,       0.339,       0.345,       0.172,       0.100,       0.060,       0.024,       0.061,       0.068,       0.101,       0.087,       0.019,       0.085,       0.240,       0.692,       1.355,       0.156,       0.012,       0.039,       0.009,       0.029,       0.000,       0.218,       0.022,       0.000,       0.007,       0.192,       0.000,       0.000,     718.331,      44.380,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    7541.249,       0.000,       0.000,       0.000,    3662.645,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000, -159203.207
       8.000,       0.000,     535.595,       0.000,       0.751,       0.000,       0.000,      74.281,    4273.756,      71.415,      66.056,      10.093,    8140.000,       0.000,       0.000,       0.000,      38.833,     231.454,      96.188,      91.767,     110.254,     115.176,      24.696,      64.136,      79.194,      93.179,      18.507,      52.527,       0.000,       2.412,       2.362,       3.245,     804.155,      86.645,       0.000,    3384.946,     199.197,      27.935,       5.468,       4.321,       1.329,       3.236,       3.574,      66.892,      29.670,      94.794,     368.918,     529.308,     467.182,    2274.637,      20.018,     109.056,      54.097,      60.322,       0.794,       0.298,       1.353,       0.314,       0.308,       0.315,       0.978,       1.112,       0.787,       1.230,       0.938,       0.606,       0.524,       0.451,       0.585,       1.428,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.028,       0.021,       0.765,       1.995,       4.363,       0.867,       8.684,       4.797,       0.983,       3.357,       0.709,       2.680,       2.207,       0.521,       0.000,       0.000,       6.979,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       2.177,       0.346,       0.000,       0.000,       0.503,       0.041,       0.445,       0.547,       0.473,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.779,       0.000,       0.000,       0.000,       0.000,       0.000,       0.389,       9.434,       0.000,       0.000,       0.000,      57.674,       0.411,       0.407,      26.866,       0.408,       0.579,       0.029,       0.387,       0.390,       0.000,       0.377,       0.369,       1.411,       6.559,       2.377,       0.369,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      61.712,       5.884,       1.970,       1.200,       0.561,       0.000,       0.403,       0.000,       0.000,       0.571,       0.326,       1.380,       4.301,       8.124,     259.242,       1.641,       0.311,       0.538,       0.324,       0.323,       0.004,       2.534,       0.301,       0.000,       0.341,       3.526,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     639.125,       0.000,    4146.801,       0.000,       0.000,       0.000,    2014.024,       0.000,       0.000,       0.000,       0.000,    1026.489,       0.000,       0.000,       0.000,       0.000,       0.000,    5762.420
       9.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    3135.740,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      65.956,    3215.773,       0.000,     306.772,       0.000,     101.381,       0.000,      50.260,       0.000,       0.000,      52.264,      14.957,       7.615,     313.373,    6801.435,     163.005,     707.607,    5554.851,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     416.443,       0.000,     109.675,      66.189,      80.450,       0.000,       0.000,       0.000,      46.507,       0.000,       0.000,       0.015,       2.344,       0.928,       0.000,       0.000,       0.000,       0.000,       0.000,      83.683,       9.982,       0.000,       0.000,      55.742,      68.450,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      22.819,     158.154,       7.373,       0.000,       0.000,       0.000,       1.888,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      44.781,       0.000,      23.358,      19.817,      31.884,     134.513,       0.000,      37.986,      66.186,     548.572,       0.000,       0.000,       0.000,       0.000,       4.136,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     342.591,       0.000,       0.000,       0.000,     322.746,       0.000,       0.000,       3.073,       0.000,       0.000,       0.000,       0.000,       0.000,     277.207,     337.491,       0.000,      77.076,       0.000,       0.000,     374.301,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      12.669,      42.240,       0.000,       0.000,       0.000,     322.548,       9.657,      13.528,       1.097,       0.000,       3.630,       0.000,     791.618,      69.200,      27.901,      10.349,     116.044,      48.071,       0.000,     600.717,       0.085,       0.000,      25.819,       0.000,     152.513,      69.212,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.461,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    7360.133
      10.000,    1516.032,     114.720,       0.000,       0.000,       0.000,       0.259,       0.000,     440.979,       8.329,     689.436,      16.801,     160.269,       0.555,      86.383,   13982.270,      91.920,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     218.937,       0.000,       0.000,    1323.276,     457.505,       0.000,     850.130,       0.000,     154.951,       6.597,      28.925,       0.000,       0.000,     272.743,     307.480,    3189.361,    1396.684,      26.035,       0.000,       0.000,       0.000,      85.793,       0.000,       0.429,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       4.726,       0.000,       0.176,       0.000,       0.710,       3.311,       0.000,       0.000,       0.000,       0.688,       0.000,       0.163,       0.000,       0.000,       0.000,       4.788,       0.000,       0.000,       0.000,       0.000,       0.000,      73.602,       0.000,       0.000,       0.000,      12.911,       0.000,       0.000,       0.000,       0.500,       0.000,       0.000,       0.000,       0.000,       0.001,       0.000,     107.088,       0.507,       5.855,       1.019,       0.000,       1.877,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.281,       7.423,      33.907,       0.234,       0.032,       0.000,       0.000,       0.000,       0.000,       0.000,      14.377,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     158.369,       0.000,       0.000,       0.000,     102.163,       0.000,       0.338,       3.088,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       9.669,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.258,       0.000,       0.000,       0.000,       0.000,       0.000,       0.501,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      45.628,       0.000,      54.035,       0.000,       0.000,       0.000,      26.244,       0.000,       0.000,       0.000,       0.000,    1174.706,       8.952,       0.000,       0.000,       0.000,       0.000,    -900.831
