SECTORNUMBER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
       1.000,   27180.154,   16717.156,       0.000,       0.000,       0.000,     156.019,       0.000,       7.352,      18.433,      10.755,      11.881,       0.000,       0.000,       0.000,    1952.090,   11665.619,   53521.184,    1902.378,    9016.802,     197.188,       0.538,       0.000,    2633.453,   15695.175,    5339.879,     919.928,     794.040,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    7286.858,       0.000,       0.000,      36.322,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     342.802,     958.609,    1194.089,    1197.903,     389.931,     607.256,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      77.848,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       2.821,       0.000,       0.000,       0.000,       7.335,       0.000,       0.000,       0.000,       0.000,       1.738,      13.132,      10.930,       0.000,       1.054,      25.024,     111.160,      54.745,       0.000,       2.835,       3.266,       0.000,       0.000,       3.224,       0.000,       0.000,    2090.105,       1.882,       0.000,      12.603,      42.096,       0.316,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       9.818,      27.254,      17.067,      10.130,     518.076,       0.457,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      35.321,       0.000,       7.566,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.102,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    2690.980,       0.454,       0.000,       0.000,       0.000,       0.000,  136242.480
       2.000,     861.754,   52266.076,       4.084,       0.000,       0.000,     223.556,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     106.448,     192.664,   36198.117,  106852.450,     634.935,     589.412,    1657.601,       0.000,       0.000,     312.057,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       5.169,     429.625,       0.000,     115.616,      55.072,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      32.694,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     725.813,       0.000,       0.000,      23.633,       0.000,       0.000,       0.000,       0.000,       0.000,      15.588,       0.000,       0.000,       0.000,       1.867,      28.664,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      28.956,      42.699,     273.504,      10.471,    1261.276,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.788,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       4.570,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     408.557,       0.000,       0.000,       0.000,       0.000,       0.000,   14685.338
       3.000,       0.000,       0.000,     131.577,    2641.405,       0.000,       8.549,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     113.998,       0.000,       0.000,       0.000,       0.000,       0.000,     367.349,     118.152,       0.000,       0.000,      99.526,    2630.483,     216.746,     531.096,       0.000,       0.000,      47.058,      23.199,     230.644,       4.926,     134.167,       0.000,      43.488,       0.000,       2.187,       0.000,    1792.092,       0.000,       0.000,       0.000,       1.032,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      43.822,       0.000,       0.000,       0.000,     196.185,       0.000,       0.000,       0.000,       0.000,       2.310,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      25.521,       0.000,       0.000,       0.558,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       2.959,       0.000,       0.000,       0.745,       3.802,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     133.246,       0.000,       0.000,       0.000,       0.000,       0.000,   -3748.826
       4.000,       0.000,       0.000,       0.000,     795.729,       0.000,       0.000,       0.000,      76.810,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    4679.024,    2121.852,     792.788,    6202.730,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      56.006,       0.000,       0.000,       0.000,       0.000,       0.000,     715.922
       5.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     384.688,       0.000,       0.000,     788.287,       0.000,     907.648,    4659.213,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      21.820,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     696.699,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       4.566,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      18.371,       0.000,       0.000,       0.311,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      42.398,      13.295,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      12.092,      20.133,     126.412,     240.790,    3087.530,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      69.077,       0.000,      87.286,       0.000,       0.000,       0.000,      23.820,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     365.734,       0.000,       0.000,       0.000,       0.000,       0.000,   -2365.348
       6.000,   19636.692,    2686.034,    2582.159,     249.928,      13.744,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     156.881,       0.000,       0.000,       6.150,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      48.638,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    2081.291,       0.000,       0.000,       0.000,       0.000,       0.000,     387.807
       7.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   45557.088,       0.024,       0.086,       0.989,       0.451,    8408.123,    5978.562,      12.276,       0.000,       0.089,       0.040,       0.162,       0.000,       0.089,       0.045,       0.015,       0.070,       0.075,       0.041,       0.048,       0.000,       0.000,       0.178,       0.153,       0.140,       0.464,       0.110,       0.597,  386786.951,    5156.782,      31.602,       7.341,       6.604,       1.729,       4.498,      54.444,       0.349,       0.198,       0.000,       0.234,       0.089,       0.235,       0.209,       0.000,      17.791,       0.000,       0.279,       0.045,       0.000,       0.113,       0.117,       0.000,       0.000,       0.107,       0.078,       0.100,       0.032,       0.095,       0.088,       0.104,       0.084,       0.095,       0.089,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.534,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       2.456,       0.772,       0.567,       0.890,       1.261,       0.000,       0.000,       0.000,       0.000,       0.000,      10.129,       0.000,       0.000,       0.446,       0.093,       0.566,       0.597,       0.058,       0.003,       0.244,       0.236,       0.183,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.021,       0.415,       0.026,       0.680,       0.013,       0.045,       0.025,       0.003,       1.720,       0.062,       0.096,       0.075,       0.133,       0.018,       0.064,       0.065,       0.063,       0.551,       0.049,       0.122,       0.297,       0.153,       0.135,       0.050,       0.077,       0.018,       0.025,       0.103,       0.518,       0.556,       0.303,       0.181,       0.078,       0.030,       0.073,       0.082,       0.148,       0.110,       0.035,       0.180,       0.524,       0.742,       2.976,       0.130,       0.010,       0.033,       0.006,       0.015,       0.000,       0.143,       0.011,       0.000,       0.005,       0.147,       0.000,       0.000,     979.881,      68.110,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   10631.121,       0.000,       0.000,       0.000,    5282.678,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,  -45207.174
       8.000,       0.000,     887.520,       0.000,       0.781,       0.000,       0.000,     147.586,    3515.122,      53.635,      65.089,      14.761,    7618.893,       0.000,       0.000,       0.000,      47.886,     295.769,     116.581,     110.567,     139.010,     151.157,      25.533,      75.121,      91.618,     118.357,      17.420,      41.561,       0.000,       1.399,       1.324,       2.323,     714.843,      86.549,       0.000,    2561.783,     238.357,      34.488,       8.098,       7.109,       1.970,       5.004,       4.998,      53.614,      24.355,     136.219,     520.108,     767.452,     642.714,    2100.896,      22.109,     142.915,      60.100,      75.602,       1.117,       0.436,       1.861,       0.461,       0.385,       0.410,       1.330,       1.627,       1.050,       2.184,       1.695,       1.017,       0.894,       0.739,       1.061,       2.578,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.850,       0.041,       1.478,       3.513,       7.376,       1.537,      13.581,       3.424,       0.932,       3.537,       0.952,       3.922,       3.166,       0.786,       0.000,       0.000,      13.405,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.913,       0.297,       0.000,       0.000,       0.741,       0.061,       0.648,       0.927,       0.719,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       3.465,       0.000,       0.000,       0.000,       0.000,       0.000,       0.550,      14.767,       0.000,       0.000,       0.000,      92.024,       0.688,       0.656,      40.227,       0.576,       0.810,       0.042,       0.517,       0.411,       0.000,       0.506,       0.463,       1.460,       7.828,       2.919,       0.405,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      27.549,       5.649,       3.961,       2.479,       0.838,       0.000,       0.466,       0.000,       0.000,       0.705,       0.230,       1.101,       3.542,       7.351,     360.570,       1.862,       0.354,       0.618,       0.304,       0.228,       0.006,       2.251,       0.213,       0.000,       0.339,       3.670,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     916.747,       0.000,    3967.659,       0.000,       0.000,       0.000,    1971.557,       0.000,       0.000,       0.000,       0.000,    1094.421,       0.000,       0.000,       0.000,       0.000,       0.000,    6446.615
       9.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    1594.217,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      33.790,    2604.801,       0.000,     307.522,       0.000,     101.715,       0.000,      47.581,       0.000,       0.000,      50.840,      14.274,       7.474,     291.834,    4252.421,     121.868,     627.720,    4177.508,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     366.655,       0.000,     108.689,      59.832,      96.680,       0.000,       0.000,       0.000,      51.556,       0.000,       0.000,       0.026,       1.422,       0.668,       0.000,       0.000,       0.000,       0.000,       0.000,     109.448,      11.897,       0.000,       0.000,      59.013,      33.073,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      24.235,     184.213,       9.587,       0.000,       0.000,       0.000,       4.664,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      26.010,       0.000,      27.970,      19.770,      32.286,     132.688,       0.000,      39.090,      96.661,     847.016,       0.000,       0.000,       0.000,       0.000,       5.454,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     362.992,       0.000,       0.000,       0.000,     348.595,       0.000,       0.000,       3.115,       0.000,       0.000,       0.000,       0.000,       0.000,     246.577,     306.800,       0.000,      53.977,       0.000,       0.000,     278.242,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       3.828,      27.456,       0.000,       0.000,       0.000,     257.911,       7.561,      10.676,       1.054,       0.000,       1.738,       0.000,     441.294,      42.385,      26.270,       7.948,      89.557,      37.419,       0.000,     287.366,       0.089,       0.000,      12.381,       0.000,     102.476,      48.768,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.448,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    7653.373
      10.000,    1695.394,     135.832,       0.000,       0.000,       0.000,       0.211,       0.000,     259.161,       4.469,     485.407,      17.557,     107.186,       0.128,      65.273,   16124.561,      80.991,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     139.063,       0.000,       0.000,     715.587,     391.168,       0.000,     899.546,       0.000,     164.097,       7.290,      28.905,       0.000,       0.000,     280.049,     309.743,    3304.210,    1372.937,      17.182,       0.000,       0.000,       0.000,      76.830,       0.000,       0.448,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       4.509,       0.000,       0.228,       0.000,       0.865,       3.874,       0.000,       0.000,       0.000,       0.441,       0.000,       0.100,       0.000,       0.000,       0.000,       6.626,       0.000,       0.000,       0.000,       0.000,       0.000,      37.537,       0.000,       0.000,       0.000,      13.502,       0.000,       0.000,       0.000,       0.615,       0.000,       0.000,       0.000,       0.000,       0.001,       0.000,     119.528,       0.459,       6.136,       2.909,       0.000,       1.483,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.301,       7.729,      41.058,       0.255,       0.050,       0.000,       0.000,       0.000,       0.000,       0.000,      20.012,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     177.120,       0.000,       0.000,       0.000,     116.475,       0.000,       0.389,       3.303,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      10.323,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.210,       0.000,       0.000,       0.000,       0.000,       0.000,       0.253,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      46.765,       0.000,      36.942,       0.000,       0.000,       0.000,      18.357,       0.000,       0.000,       0.000,       0.000,     894.912,      10.539,       0.000,       0.000,       0.000,       0.000,   -1045.667
