SECTORNUMBER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
       1.000,   12379.542,    9500.549,       0.000,       0.000,       0.000,     318.049,       0.000,      11.646,      34.137,      17.109,      34.786,       0.000,       0.000,       0.000,    2039.638,   11606.164,   45402.805,    2192.902,   10041.249,     191.605,       0.514,       0.000,    3274.573,   18555.339,    5590.722,    1460.156,     920.828,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   15257.851,       0.000,       0.000,      78.460,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     571.542,    1188.527,     662.743,    1022.965,     168.647,     549.533,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      69.104,       0.000,       0.000,       0.000,       0.480,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.916,       0.299,       0.000,       0.000,       6.202,       0.000,       0.000,       0.000,       0.000,       3.686,      16.047,      11.461,       0.000,       0.954,      21.247,     111.958,      52.418,       0.000,       3.638,       1.810,       0.000,       0.000,       1.963,       0.000,       0.000,    1286.676,       1.268,       0.000,      20.566,      64.868,       0.527,       0.476,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.238,       0.237,       0.461,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      12.408,      28.456,      17.264,      19.724,     483.131,       0.535,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      53.161,       0.000,       9.707,       0.000,       0.000,       0.269,       0.271,       0.000,       0.000,       0.000,       0.000,       0.000,       0.961,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    3180.733,       0.360,       0.000,       0.000,       0.000,       0.000,   84245.224
       2.000,     391.827,   29652.748,       7.060,       0.000,       0.000,     454.947,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     122.496,     214.188,   35113.291,  101926.964,     826.486,     731.656,    1956.327,       0.000,       0.000,     361.267,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       8.603,     531.760,       0.000,      98.564,      23.778,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      28.972,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     729.778,       0.000,       0.000,      30.271,       0.000,       0.000,       0.000,       0.000,       0.000,       9.748,       0.000,       0.000,       0.000,       3.042,      44.095,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.233,       0.231,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      36.532,      44.507,     276.190,      20.353,    1174.194,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.009,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       6.005,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     482.090,       0.000,       0.000,       0.000,       0.000,       0.000,   16244.490
       3.000,       0.000,       0.000,      75.136,    2092.965,       0.000,       5.747,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      80.482,       0.000,       0.000,       0.000,       0.000,       0.000,     265.988,      75.763,       0.000,       0.000,      34.778,    2309.458,     190.665,     371.767,       0.000,       0.000,      40.757,      31.575,     442.416,      10.508,     232.473,       0.000,      86.115,       0.000,       4.646,       0.000,    2448.160,       0.000,       0.000,       0.000,       2.138,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.528,       0.000,       0.000,       0.545,       0.000,       0.000,       0.000,       0.000,      43.644,       0.000,       0.000,       0.000,     223.213,       0.000,       0.000,       0.000,       0.000,       2.146,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      18.129,       0.000,       0.000,       0.539,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.072,       0.000,       0.000,       0.675,       3.254,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     112.043,       0.000,       0.000,       0.000,       0.000,       0.000,   -3517.828
       4.000,       0.000,       0.000,       0.000,     626.612,       0.000,       0.000,       0.000,      61.772,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    4082.597,    1854.997,     551.521,    3712.227,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      46.803,       0.000,       0.000,       0.000,       0.000,       0.000,    1687.044
       5.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     282.284,       0.000,       0.000,     647.466,       0.000,     639.676,    4480.811,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      45.530,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     644.597,       0.000,       0.000,       0.000,       0.000,       0.491,       0.000,       0.000,       0.000,       2.847,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      15.715,       0.000,       0.000,       0.361,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      46.286,      13.706,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.472,       0.469,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      13.950,      19.189,     116.729,     370.563,    3031.395,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      70.532,       0.000,      75.973,       0.000,       0.000,       0.000,      17.170,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     370.352,       0.000,       0.000,       0.000,       0.000,       0.000,   -1164.136
       6.000,   18859.662,    3218.924,    2376.083,     319.119,      16.175,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     179.578,       0.000,       0.000,       9.570,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      58.350,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    2820.161,       0.000,       0.000,       0.000,       0.000,       0.000,     321.256
       7.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   18692.322,       0.073,       0.307,       3.019,       0.571,    7520.154,   12610.531,      11.298,       0.000,       0.034,       0.013,       0.072,       0.000,       0.033,       0.016,       0.008,       0.034,       0.034,       0.016,       0.030,       0.282,       0.000,       0.219,       0.188,       0.137,       0.471,       0.100,       0.283,  474834.233,    3165.867,      21.577,       4.071,       4.182,       1.096,       2.601,      37.017,       0.368,       0.193,       0.000,       0.122,       0.042,       0.117,       0.231,       0.000,      14.403,       0.000,       0.253,       0.022,       0.000,       0.053,       0.054,       0.000,       0.000,       0.054,       0.038,       0.053,       0.015,       0.044,       0.044,       0.043,       0.043,       0.043,       0.043,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.272,       0.267,       0.000,       0.000,       0.141,       0.070,       0.068,       0.000,       0.140,       0.143,       0.000,       0.142,       0.137,       5.572,       0.570,       1.111,       0.565,       2.757,       0.000,       0.000,       0.000,       0.000,       0.282,      21.686,       0.000,       0.000,       0.558,       0.098,       0.466,       0.271,       0.022,       0.001,       0.105,       0.077,       0.076,       0.138,       0.144,       0.000,       0.176,       0.139,       0.144,       0.276,       0.071,       0.071,       0.070,       0.071,       0.272,       0.099,       1.720,       0.098,       0.282,       0.044,       0.179,       0.093,       0.011,       6.081,       0.055,       0.087,       0.065,       0.130,       0.023,       0.064,       0.064,       0.068,       1.117,       0.115,       0.269,       0.708,       0.266,       0.341,       0.085,       0.149,       0.028,       0.056,       0.202,       7.321,       1.120,       0.279,       0.173,       0.100,       0.019,       0.051,       0.055,       0.080,       0.070,       0.098,       0.414,       1.167,       3.344,       8.944,       0.746,       0.056,       0.187,       0.040,       0.130,       0.003,       1.037,       0.110,       0.000,       0.031,       0.923,       0.000,       0.000,     678.807,      50.072,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    7540.712,       0.000,       0.000,       0.000,    3651.421,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000, -242041.286
       8.000,       0.000,     408.736,       0.000,       0.608,       0.000,       0.000,      95.707,    2947.854,      52.589,      54.819,      17.324,   10052.795,       0.000,       0.000,       0.000,      44.382,     233.739,     125.191,     114.705,     125.833,     134.554,      31.015,      87.019,     100.903,     115.439,      25.757,      75.353,       0.426,       1.842,       1.747,       2.439,     887.424,      96.236,       0.000,    2576.076,     257.936,      41.507,       7.915,       7.936,       2.200,       5.101,       5.990,      63.863,      26.834,      79.467,     330.173,     443.634,     388.339,    3474.689,      31.358,     173.306,      88.579,     102.646,       1.038,       0.404,       1.690,       0.405,       0.413,       0.416,       1.282,       1.526,       1.082,       2.478,       1.882,       1.207,       0.896,       0.904,       1.165,       2.958,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.145,       0.026,       1.064,       2.861,       6.070,       0.870,      10.403,       3.942,       0.835,       2.789,       0.535,       2.262,       1.875,       0.402,       0.000,       0.000,      11.435,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       2.630,       0.396,       0.000,       0.000,       0.355,       0.031,       0.355,       0.383,       0.377,       0.000,       0.000,       0.426,       0.277,       0.000,       0.453,       0.717,       0.075,       0.075,       0.073,       0.000,       0.428,       0.372,       8.574,       0.000,       0.443,       0.000,      51.321,       0.365,       0.366,      32.184,       0.441,       0.630,       0.031,       0.435,       0.438,       0.000,       0.430,       0.430,       1.861,       8.122,       2.860,       0.430,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      46.347,       5.592,       2.519,       1.631,       0.738,       0.000,       0.452,       0.000,       0.000,       0.619,       0.440,       1.738,       5.417,      10.322,     301.387,       2.161,       0.410,       0.701,       0.414,       0.393,       0.007,       3.308,       0.414,       0.000,       0.418,       4.670,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    1049.012,       0.000,    4321.533,       0.000,       0.000,       0.000,    2092.606,       0.000,       0.000,       0.000,       0.000,     539.544,       0.000,       0.000,       0.000,       0.000,       0.000,    7389.507
       9.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    1507.911,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      32.779,    2719.217,       0.000,     289.990,       0.000,     109.615,       0.000,      55.010,       0.000,       0.000,      28.612,       8.741,       4.168,     170.104,    6784.755,     166.749,     734.324,    5939.673,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     359.001,       0.000,      98.303,      59.429,     105.842,       0.000,       0.000,       0.000,      60.859,       0.000,       0.000,       0.017,       3.336,       1.154,       0.000,       0.000,       0.000,       0.000,       0.000,      76.038,       9.347,       0.000,       0.000,      43.608,      36.734,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      27.939,     189.833,       7.889,       0.680,       0.000,       0.000,       2.627,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      33.422,       0.000,      18.061,       9.145,      16.009,      70.019,       0.000,      19.762,      33.302,     255.025,       0.000,       0.000,       0.000,       0.000,       1.089,       0.113,       0.113,       0.111,       0.000,       0.000,       0.000,     203.316,       0.000,       0.000,       0.000,     187.544,       0.000,       0.000,       2.404,       0.000,       0.000,       0.000,       0.000,       0.000,     205.633,     251.423,       0.000,      66.378,       0.000,       0.000,     284.824,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       6.213,      26.215,       0.000,       0.000,       0.000,     227.174,       7.080,       9.644,       0.765,       0.000,       3.204,       0.000,     651.076,      57.413,      21.182,       8.898,      99.945,      40.929,       0.000,     477.147,       0.104,       0.000,      23.146,       0.000,     121.874,      59.857,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.494,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   11043.899
      10.000,    1132.022,     113.167,       0.000,       0.000,       0.000,       0.252,       0.000,     393.178,       7.928,     739.585,      37.275,     255.851,       0.720,     160.324,   11195.791,     135.797,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     312.309,       0.000,       0.000,    1301.763,     765.772,       0.000,    1590.734,       0.000,     331.628,      13.443,      62.667,       0.000,       0.000,     295.554,     355.715,    3455.373,    1500.712,      51.410,       0.000,       0.000,       0.000,     188.709,       0.000,       0.752,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       8.399,       0.000,       0.457,       0.000,       1.570,       8.575,       0.000,       0.000,       0.000,       1.938,       0.000,       0.399,       0.000,       0.000,       0.000,       7.718,       0.000,       0.000,       0.000,       0.000,       0.000,      78.187,       0.000,       0.000,       0.000,      14.089,       0.000,       0.000,       0.000,       1.189,       0.000,       0.000,       0.000,       0.000,       0.002,       0.000,     106.236,       0.494,       3.831,       0.476,       0.000,       1.911,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.279,       7.648,      30.697,       0.241,       0.032,       0.000,       0.000,       0.000,       0.000,       0.000,       7.493,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     186.041,       0.000,       0.000,       0.000,     117.511,       0.000,       0.393,       4.781,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      16.464,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.440,       0.000,       0.000,       0.000,       0.000,       0.000,       0.888,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      96.806,       0.000,      72.791,       0.000,       0.000,       0.000,      35.247,       0.000,       0.000,       0.000,       0.000,     798.135,       3.700,       0.000,       0.000,       0.000,       0.000,   -1089.665
