SECTORNUMBER,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
      21.000,  166335.080,  180572.872,  181994.093,  178811.222,  177125.996,  185645.032,  178846.193,  176595.712,  184701.463,  195955.697,  199065.184,  205751.849,  213217.836,  204023.425,  200743.640,  198565.416,  199565.536,  184366.690,  196100.423,  209237.478,  210133.863,  217757.663,  217786.442,  234287.849
      22.000,    9044.351,   10173.357,   10828.645,   11554.005,   11778.513,   11959.255,   12534.500,   12580.831,   12622.047,   12550.166,   12758.197,   12177.128,   11560.362,   11131.578,   10628.036,   10712.999,   10998.639,   10942.381,   11201.568,   11111.555,   10854.672,   10604.995,   10795.763,   10660.859
      23.000,   64365.253,   65280.541,   64736.192,   65876.911,   66114.129,   63465.045,   65170.597,   67605.334,   68230.228,   65600.688,   66851.337,   63953.933,   60681.333,   62360.936,   63812.445,   64147.004,   64738.849,   65997.066,   64912.523,   63989.894,   64770.513,   63692.824,   64716.751,   69548.537
      24.000,   65304.155,   67559.755,   68515.914,   71262.722,   74116.077,   73354.747,   75794.605,   84732.602,   86283.967,   86187.176,   90641.489,   90961.741,   88437.905,   90491.148,   92681.307,   93568.490,   95875.378,   96942.729,   94107.108,   96862.301,   97055.045,   94413.735,   96254.451,  100750.647
      25.000,   91809.156,   92661.674,   90675.751,   93104.526,   90734.184,   89007.906,   93301.025,   96326.230,   98980.595,   99624.578,  105502.792,  108083.626,  103941.460,  107004.905,  111204.515,  112908.187,  114371.472,  119510.993,  120538.979,  118075.296,  119593.058,  120464.210,  123190.534,  135733.945
      26.000,   86063.791,   87736.554,   85410.101,   83047.018,   81544.062,   77618.151,   76977.026,   76765.818,   73409.302,   70795.084,   68981.584,   70297.847,   63709.643,   60070.467,   58779.821,   56721.368,   56254.553,   55314.000,   52980.843,   50060.718,   48492.957,   46079.488,   46809.861,   48735.249
      27.000,  105236.924,  103894.963,  104524.247,  102684.124,   92474.705,   92048.609,   88365.815,   91980.399,   93110.161,   84147.518,   74535.659,   63352.667,   51307.462,   53971.388,   52841.858,   51705.500,   53561.307,   54243.823,   52216.816,   51081.525,   48421.212,   47304.522,   46907.444,   44246.891
      28.000,   94035.207,   84774.617,   81295.679,   80058.427,   63122.277,   54993.248,   48651.614,   42676.561,   43849.029,   42289.727,   31873.792,   28192.953,   25552.056,   24244.902,   25209.264,   19163.500,   19011.895,   18201.840,   17818.534,   17886.945,   17823.011,   18885.562,   19086.847,   20332.121
      29.000,   20222.896,   21950.514,   22115.223,   22155.528,   20842.056,   21334.531,   21239.186,   28368.698,   30081.060,   30134.191,   27740.131,   25450.703,   21383.098,   21430.434,   22015.282,   23464.305,   23510.053,   23505.300,   25896.277,   26691.557,   27032.601,   27090.228,   26709.275,   24077.028
      30.000,   21579.629,   22693.112,   22812.097,   23429.934,   22631.278,   24006.291,   22881.396,   23020.317,   24790.581,   25596.684,   23927.252,   20913.586,   17582.616,   17397.518,   17822.112,   17237.297,   18086.213,   19310.053,   20152.096,   20835.362,   20827.839,   19895.320,   20980.588,   17713.644
      31.000,   47431.769,   49152.993,   52006.128,   50773.523,   47086.655,   48083.959,   49445.391,   58814.598,   63166.662,   62564.537,   56742.396,   47644.663,   35370.687,   37551.595,   37166.566,   40069.898,   42893.564,   44159.911,   45386.296,   47247.022,   49017.704,   49993.310,   49077.602,   48769.246
      32.000,   96090.139,   96353.971,   98805.590,   94024.735,   88950.576,   90718.110,   87406.766,   91780.325,   91348.341,   90786.564,   91394.268,   85623.998,   79365.374,   80034.611,   80252.226,   81286.720,   82638.769,   82285.272,   82067.259,   82602.324,   80887.048,   79558.575,   80589.252,   79707.740
      33.000,  111317.230,  111561.647,  112596.169,  112787.977,  106689.256,  106322.287,  103955.888,  105769.755,  106880.142,  106804.491,  107712.047,  105218.097,   93218.214,   96737.034,   97630.935,   97687.280,   97165.861,   95882.121,   94885.519,   92787.742,   92481.224,   94537.165,   96044.165,   93845.895
      34.000,  313988.606,  315571.369,  324367.793,  328120.945,  313895.023,  302821.467,  289391.020,  296701.514,  299674.325,  106362.227,  108194.564,  101439.928,   86098.890,   85416.344,   84535.635,   83094.000,   82885.011,   81281.373,   80936.406,   82935.580,   82513.449,   84664.164,   87886.561,   84527.444
      35.000,  778146.759,  778555.377,  790735.537,  782171.251,  784475.084,  818502.588,  760971.647,  820565.094,  873069.082,  863419.194,  883196.613,  843699.193,  841044.638,  808107.197,  827340.529,  833489.500,  869982.021,  844449.351,  838866.846,  877034.330,  889625.703,  911129.867,  838610.657,  761872.256
      36.000,  187597.557,  185546.834,  191166.810,  185337.406,  172974.362,  183755.257,  188971.528,  263054.728,  269400.929,  281635.373,  308180.037,  261061.778,  255729.245,  273656.023,  265026.851,  272389.543,  289712.897,  297479.549,  331224.658,  341828.112,  333656.720,  323586.425,  333269.941,  318221.310
      37.000,  114638.660,  115925.933,  118056.100,  107771.102,  102703.676,  110502.599,  105952.896,  106539.593,  102703.486,  108793.385,  123494.425,  112741.924,  102757.806,  108286.350,  106728.737,  109379.719,  111690.645,  107732.062,  112355.388,  115917.637,  115553.587,  115060.850,  118269.722,  112095.759
      38.000,   43795.672,   42621.124,   41893.230,   41510.535,   35805.612,   36862.782,   35400.150,   37007.737,   38612.654,   40077.498,   39153.077,   27907.573,   33621.030,   40807.307,   38946.415,   41278.861,   45380.890,   46308.520,   44485.905,   48077.760,   51257.882,   49905.448,   52524.779,   53487.032
      39.000,  190605.855,  191402.905,  202328.186,  219865.829,  227900.408,  246319.552,  239595.014,  248451.319,  256876.056,  259779.743,  274625.709,  255895.202,  201383.049,  215561.152,  217178.401,  207441.798,  210828.320,  203165.483,  182753.507,  171504.553,  169604.426,  172794.136,  178822.210,  186180.347
      40.000,   45050.179,   46136.511,   47356.442,   47914.196,   43563.270,   43833.724,   43809.751,   46393.199,   47005.769,   43583.612,   43071.121,   40355.253,   33613.222,   37919.669,   37161.837,   36032.562,   37332.078,   37001.484,   36195.088,   35679.906,   37214.248,   37439.155,   39361.627,   38556.258
      41.000,   66997.103,   67687.435,   68999.083,   74379.480,   70474.987,   76076.987,   79313.133,   85223.157,   89750.817,   89046.650,   96747.066,   89142.093,   75258.145,   81040.861,   84120.360,   80661.838,   83612.865,   82421.809,   80356.931,   80039.031,   81155.488,   84284.649,   84483.144,   84850.144
      42.000,   53025.695,   52210.243,   53454.435,   54656.982,   49638.327,   50587.534,   49700.437,   53073.974,   52770.799,   52243.437,   52639.708,   50587.122,   41843.347,   47846.856,   48091.838,   45618.680,   47300.916,   46874.425,   44494.352,   43906.943,   45508.539,   46260.926,   47483.558,   45401.555
      43.000,  176165.482,  184764.854,  194965.974,  198751.180,  189079.754,  195183.544,  193627.469,  201641.091,  202200.758,  201344.217,  198231.717,  179496.465,  150441.345,  161942.418,  164670.427,  172006.989,  173934.747,  178684.711,  179997.013,  182019.439,  179047.035,  182179.656,  184112.376,  176731.533
      44.000,   53043.688,   52642.559,   54608.573,   55076.899,   50409.895,   48846.752,   48497.377,   48781.335,   50302.228,   50639.358,   48284.512,   44839.592,   38456.377,   41189.503,   41267.466,   44460.011,   46009.908,   47970.522,   48666.202,   48817.282,   48465.048,   50206.556,   50791.223,   48005.291
      45.000,   14658.013,   14840.727,   14428.851,   13734.294,   12025.296,   11470.225,   11153.473,   11173.068,   11309.379,   11359.253,   10750.008,    9338.852,    7743.753,    7314.804,    7276.358,    7282.585,    7659.850,    8084.075,    8288.200,    8605.623,    9086.078,    8893.014,    9205.402,    9031.919
      46.000,   25878.544,   27383.895,   28152.461,   27492.634,   25486.040,   25150.674,   24344.032,   24704.094,   25574.766,   26442.724,   25099.767,   23188.918,   18657.291,   20438.629,   21798.843,   23570.203,   24932.078,   26119.287,   26446.673,   26719.362,   27203.750,   27065.520,   28011.514,   27082.985
      47.000,   51203.816,   54739.205,   57671.031,   59394.175,   58037.013,   59892.097,   61477.672,   64663.179,   67371.043,   69706.770,   68313.801,   56467.929,   42473.643,   42396.483,   41260.569,   41229.059,   42435.410,   44161.348,   45347.635,   46838.020,   48178.863,   48077.896,   49413.878,   49035.249
