SECTORNUMBER,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
      21.000,  171936.544,  186233.040,  186146.601,  180999.817,  177892.880,  187094.704,  180699.825,  178087.220,  185895.354,  194423.987,  198785.681,  205876.616,  212168.621,  202872.113,  200764.315,  198392.962,  198980.219,  184525.591,  196282.373,  209555.380,  212148.259,  218921.042,  218514.595,  222227.359
      22.000,    8278.153,    9573.063,    9963.907,   10510.805,   10849.113,   11068.434,   12020.693,   11592.755,   11506.947,   11277.618,   11365.672,   10777.623,   10295.683,   10093.781,    9522.256,   10547.878,   11390.331,   11697.822,   11584.475,   11433.320,   11576.507,   10667.146,   10569.772,    9954.231
      23.000,   69051.275,   70574.702,   70711.288,   73308.390,   74484.325,   74239.566,   74498.855,   75893.217,   77365.019,   75495.497,   76886.097,   73118.609,   70501.749,   70549.358,   72016.572,   72761.701,   73178.350,   75191.790,   74499.014,   74391.292,   75841.104,   75394.019,   75419.779,   80412.808
      24.000,   69318.972,   72063.327,   72353.899,   74722.336,   77793.048,   78365.548,   80650.485,   89916.380,   90961.828,   89526.088,   93438.112,   94472.871,   92413.377,   94190.047,   97022.514,   97166.486,   99712.175,  101096.671,   97506.221,  101360.916,  102100.253,   98547.076,  100689.462,  103272.031
      25.000,   88500.909,   89542.435,   87950.708,   91219.353,   88568.609,   87924.962,   91758.936,   94581.279,   96866.897,   97676.797,  103511.441,  101248.638,  101783.552,  105505.891,  109572.526,  111750.613,  112680.578,  117557.591,  119218.941,  116563.817,  118076.141,  118513.122,  118895.938,  129102.370
      26.000,  153840.997,  146564.981,  130000.308,  122050.460,  116691.528,  103558.173,  102481.118,  103200.061,   99266.708,   98962.191,   94837.458,   90973.193,   76553.338,   66506.259,   61298.844,   56657.572,   56610.205,   55184.071,   52360.998,   49216.262,   47537.683,   44908.330,   42632.870,   41112.396
      27.000,   95432.767,   96065.301,   95252.582,   93163.088,   83917.405,   81389.949,   78333.964,   81589.312,   82420.073,   74398.450,   65887.735,   55730.469,   46133.602,   46946.780,   46234.467,   48897.244,   50108.991,   51009.731,   49861.695,   48979.119,   46185.180,   44616.785,   43728.259,   40792.752
      28.000,   90300.270,   81673.509,   78616.421,   75966.371,   60153.096,   52882.650,   45305.954,   40494.027,   41498.058,   40101.105,   29983.418,   26674.210,   24688.999,   22707.451,   23033.929,   19721.300,   19814.434,   19179.466,   19022.366,   18960.635,   18824.422,   19771.959,   19718.738,   20693.585
      29.000,   22494.740,   24363.703,   24407.425,   24424.037,   23150.219,   23454.674,   23375.113,   30454.307,   32536.349,   33206.590,   30628.890,   28102.209,   24476.846,   24544.679,   25051.876,   25897.447,   25747.699,   25713.697,   28843.062,   29725.778,   29783.419,   29538.881,   29009.746,   26239.888
      30.000,   21350.345,   22579.237,   22513.099,   23138.468,   22347.097,   24016.573,   22726.264,   22987.383,   24569.322,   24936.160,   23397.473,   20418.462,   17267.035,   17076.497,   17529.420,   16895.750,   17675.273,   19051.557,   20230.610,   20917.271,   20657.729,   19310.838,   20572.848,   17278.080
      31.000,   44156.820,   46535.846,   48350.431,   45461.458,   41703.315,   43645.518,   45626.142,   53965.227,   58233.590,   57224.282,   52750.688,   44348.087,   33788.853,   36242.466,   36403.789,   36224.976,   38832.162,   39643.225,   42079.046,   43908.960,   45516.476,   47441.260,   45555.997,   43853.110
      32.000,   97134.342,   98304.624,  100913.059,   95223.190,   90721.642,   94769.450,   90570.136,   94290.727,   92736.500,   91199.888,   92237.558,   87555.677,   80405.843,   82306.045,   84188.831,   83220.651,   85401.506,   84824.843,   84933.565,   85361.369,   82990.619,   80665.655,   82400.713,   82991.828
      33.000,  107299.537,  107532.438,  108067.604,  104807.773,   99325.236,   99677.006,   98170.764,  100731.081,  103144.264,  102062.269,  103673.326,   99621.312,   88971.114,   92268.903,   93213.042,   93453.378,   93905.803,   93305.899,   94086.976,   92537.869,   91873.574,   93112.815,   93047.090,   90606.223
      34.000,  240664.023,  241492.640,  245105.953,  244306.626,  232955.333,  235243.622,  225011.154,  228242.049,  229733.341,   80726.341,   79786.200,   76550.300,   66337.411,   67725.482,   68417.243,   67595.467,   66740.922,   66681.096,   67976.442,   70604.376,   70296.585,   71693.787,   73604.540,   69975.796
      35.000,  789730.270,  781306.591,  819472.431,  841148.523,  839681.273,  849562.828,  795733.967,  850821.484,  896711.738,  880366.640,  886164.976,  837863.157,  840727.086,  811779.714,  820914.457,  812014.819,  871988.718,  851649.323,  851051.707,  890328.116,  907847.728,  927695.086,  914739.143,  903465.864
      36.000,  213043.585,  212349.730,  220696.279,  211727.083,  197806.244,  212944.657,  217156.933,  278907.255,  281634.161,  291092.490,  325557.576,  285195.914,  271612.758,  289878.395,  277304.131,  289413.877,  301901.625,  309725.302,  334324.926,  341679.370,  336749.628,  336159.199,  348827.861,  349336.750
      37.000,  117053.331,  120875.215,  122340.283,  118165.926,  108049.176,  114985.467,  113466.312,  118020.004,  119071.900,  121690.728,  132262.121,  117973.490,  108358.882,  113235.582,  111056.264,  109791.589,  113234.566,  109197.228,  116668.005,  120815.061,  118366.992,  116778.699,  125862.756,  123114.351
      38.000,   43797.545,   42833.040,   42582.290,   41690.019,   40107.104,   38612.374,   37296.276,   38884.085,   41225.630,   40749.470,   39782.285,   30132.993,   35376.050,   41110.388,   38890.313,   41463.879,   45210.186,   46188.211,   45270.700,   49308.219,   52041.228,   49604.897,   50859.425,   53180.630
      39.000,  164759.340,  164454.596,  172014.674,  188852.245,  198911.129,  220290.557,  223699.971,  224984.435,  221682.933,  222713.761,  223893.897,  202627.823,  183000.741,  182271.905,  180838.675,  168729.652,  173344.257,  178584.715,  168973.840,  160304.041,  163121.769,  158277.391,  162178.621,  165158.419
      40.000,   44968.050,   45627.264,   46748.815,   47317.178,   43648.261,   43736.076,   43788.775,   46419.627,   46952.984,   43149.569,   41462.085,   39803.648,   33049.933,   37332.952,   36794.925,   35110.896,   36633.059,   36558.917,   36027.842,   35577.510,   36897.726,   36677.491,   38134.844,   35415.932
      41.000,   66944.301,   66869.089,   68444.586,   72212.843,   70436.995,   75733.961,   76757.600,   82735.574,   87182.303,   88776.205,   94190.783,   86700.416,   73812.182,   79690.756,   80029.858,   76334.965,   80147.787,   80578.149,   78895.413,   78499.054,   79223.260,   81564.206,   80953.897,   80818.516
      42.000,   51347.442,   50890.913,   52397.601,   53975.740,   48943.871,   49121.800,   48905.212,   52609.593,   51715.682,   49740.592,   49940.122,   48225.369,   38759.948,   44737.818,   46178.978,   43760.579,   45834.303,   45526.542,   43500.946,   43558.130,   44919.709,   45126.875,   45703.153,   43337.349
      43.000,  174940.845,  183815.444,  194484.885,  198996.324,  188184.946,  195070.091,  193120.830,  201668.863,  201353.719,  198438.110,  195089.646,  174487.896,  147364.278,  159758.727,  162652.560,  171783.710,  171724.870,  175642.480,  179822.197,  181271.308,  177986.939,  179827.783,  180703.326,  172932.425
      44.000,   51009.084,   52042.943,   52866.601,   53050.063,   49419.118,   47689.598,   48114.332,   48918.872,   50332.851,   50386.105,   47668.404,   43433.515,   38181.887,   40621.893,   40656.611,   42171.672,   43411.900,   45409.715,   47939.933,   48122.446,   46514.382,   47982.441,   47713.833,   44605.167
      45.000,   13498.737,   13771.745,   13118.084,   12465.749,   11087.976,   10529.169,   10380.222,   10287.637,   10559.638,   10460.717,    9897.603,    8491.391,    7290.235,    6886.961,    6856.628,    7137.084,    7433.578,    7836.417,    8244.981,    8634.872,    9001.014,    8699.965,    8729.114,    8254.213
      46.000,   25833.007,   27190.185,   27743.041,   27374.006,   25215.315,   25414.558,   24568.139,   25088.385,   26037.420,   26713.627,   25231.792,   23397.816,   19468.185,   21761.530,   23780.892,   22923.475,   24361.633,   25495.858,   25971.557,   26463.585,   26823.686,   26423.524,   26824.480,   24829.413
      47.000,   49997.435,   54001.542,   56596.897,   57414.482,   56043.175,   57858.433,   60794.744,   64207.300,   66795.943,   68350.215,   65949.820,   54244.515,   39495.577,   39983.009,   39481.904,   39355.745,   41008.870,   43336.998,   45154.930,   46684.538,   47614.953,   46997.902,   46967.382,   45100.552
      48.000,   26758.805,   27707.333,   26217.916,   26514.658,   26505.222,   26206.337,   26984.919,   27936.452,   29557.384,   29878.422,   31608.700,   30965.757,   23587.414,   25779.457,   26952.056,   26231.494,   27645.789,   27857.906,   28599.055,   29646.141,   29865.573,   29658.029,   30543.370,   28904.945
      49.000,  114140.839,  119023.623,  119313.044,  116749.288,  108906.382,  107096.662,  102997.350,  108921.501,  114503.375,  121030.655,  125285.806,  116293.880,   91820.515,  108998.955,  115960.081,  126824.720,  130559.417,  128837.493,  129674.845,  125521.586,  120472.870,  120637.783,  121892.995,  119256.273
      50.000,   18275.806,   21068.444,   20942.230,   22517.657,   19333.487,   16652.247,   16113.385,   13664.704,   12719.618,   12325.750,   10940.416,   10004.888,    6505.583,    9102.350,    9566.392,    9526.977,   10050.184,   10524.193,   10137.123,    9739.023,    9394.610,    9755.591,    9141.336,    7997.162
      51.000,   37431.254,   41452.309,   39332.851,   36312.247,   32910.208,   34814.854,   32645.737,   38620.765,   39090.569,   36445.639,   36211.810,   36375.662,   26943.866,   32815.812,   34098.593,   37035.333,   37175.371,   36202.938,   33458.359,   31292.364,   30709.905,   31818.630,   31486.172,   31581.217
      52.000,   51277.570,   55847.492,   53015.069,   50374.956,   43912.179,   42867.905,   45561.081,   59907.885,   59416.684,   48237.263,   51933.573,   55808.715,   37842.370,   49364.100,   51699.816,   60851.875,   63427.469,   66833.190,   63450.439,   60184.480,   58595.957,   63052.000,   59749.829,   48826.551
      53.000,   42090.604,   43361.337,   41671.747,   42192.309,   36399.066,   37225.073,   34056.943,   42306.016,   39725.570,   39854.704,   36452.657,   34942.865,   20678.104,   27366.508,   30909.368,   31364.441,   30767.343,   32169.999,   28606.890,   26572.674,   29535.664,   32025.304,   30735.929,   26653.284
      54.000,   30195.453,   30818.957,   30908.784,   31555.384,   28164.124,   27662.045,   28006.858,   30084.107,   31750.685,   34896.946,   37678.873,   37069.719,   30892.780,   34069.744,   37729.956,   34885.869,   36099.802,   37096.196,   36990.483,   35746.168,   35877.048,   38181.515,   39294.583,   35894.754
      55.000,   16324.792,   16236.180,   16028.441,   15850.946,   14305.978,   13567.459,   13499.835,   13295.825,   12477.410,   12707.597,   11620.143,   11405.414,   10289.703,   10793.102,   10529.353,    9097.627,    9242.560,    9278.410,    8978.379,    8528.885,    8659.201,    9224.734,    9238.118,    8539.797
      56.000,   76980.188,   80990.979,   84209.029,   86588.929,   85036.542,   82854.212,   84283.382,   81825.194,   86054.739,   92508.612,   95972.003,   91243.472,   72135.037,   70780.064,   71684.282,   73084.104,   74234.034,   77664.229,   78823.996,   78835.811,   81332.917,   80059.576,   79699.513,   77309.832
      57.000,   32009.769,   32644.314,   33043.640,   33506.747,   31170.418,   30440.456,   29781.760,   31254.645,   31472.880,   33493.136,   34722.435,   34496.718,   26850.199,   29296.472,   34024.967,   34024.267,   34961.773,   35646.970,   34554.559,   33938.655,   34636.385,   35040.092,   34576.680,   33617.440
      58.000,   13605.239,   14112.342,   14134.727,   14379.235,   13307.834,   13136.065,   12098.673,   11435.682,   11108.599,   10594.183,    9942.329,    9379.737,    7467.936,    7191.475,    7330.674,    7261.186,    7318.110,    7330.203,    7213.470,    6955.254,    6940.741,    7271.064,    7310.912,    6521.409
      59.000,    7199.452,    7842.227,    7764.425,    7766.451,    7228.319,    7219.876,    7224.947,    7170.238,    7588.258,    7945.710,    8352.050,    7333.091,    5612.078,    5856.816,    6146.354,    5835.535,    5875.489,    6053.163,    5915.036,    5681.250,    5758.374,    5833.780,    5749.116,    5078.446
      60.000,   56757.866,   58081.399,   58914.682,   61038.210,   56247.407,   55776.262,   55406.977,   57935.141,   61022.877,   64728.650,   67401.559,   67202.887,   52597.245,   57386.031,   64884.165,   67410.287,   67833.037,   69730.377,   68213.785,   65367.191,   66587.117,   70338.667,   70337.193,   62927.155
      61.000,   25329.512,   26416.582,   26649.489,   27651.249,   25598.416,   25868.315,   25333.722,   26253.742,   28175.691,   29129.201,   30039.075,   30030.787,   23478.668,   24317.993,   27012.786,   27303.160,   28116.794,   28313.176,   27443.427,   26156.383,   26295.820,   27867.231,   28404.041,   26447.711
      62.000,   71727.774,   73468.562,   74891.455,   77624.063,   72330.604,   70888.148,   71374.035,   73641.362,   77190.116,   80323.474,   82736.336,   82066.877,   62527.509,   66709.293,   71526.380,   71947.856,   74112.848,   73517.286,   70960.507,   68176.465,   68541.995,   71441.043,   71198.300,   63881.401
      63.000,   66687.501,   67157.035,   63162.278,   66164.636,   58094.858,   53189.168,   57323.237,   67834.144,   78680.718,   85394.453,   89939.004,   92766.069,   72812.845,   86045.032,   98369.032,  111344.560,  109344.203,  113061.733,   99732.401,   91603.996,   95421.488,  104488.070,  106395.675,   92132.208
      64.000,   32848.071,   33183.126,   31691.933,   35468.425,   29583.399,   28563.748,   27247.453,   31757.157,   33843.234,   35790.332,   37546.729,   36003.079,   27018.080,   28293.016,   33889.955,   30874.638,   31018.742,   31268.247,   28350.689,   26466.838,   27556.141,   29332.067,   31177.675,   28158.126
